TD ID TJ DF Dd Db
6 2004 5 1 0 1
7 2005 5 2 0 2
7 2007 5 2 0 2
7 2008 5 2 0 2
7 2000 5 2 0 2
7 2006 5 2 0 2
8 2009 5 3 0 3
8 2017 8 0 0 0
8 2002 5 3 0 3
9 2019 8 1 0 1
9 2001 5 4 0 4
9 2018 8 1 0 1
9 2011 8 1 0 1
9 2015 8 1 0 1
9 2003 5 4 0 4
9 2012 8 1 0 1
10 2014 8 2 0 2
10 2022 9 1 0 1
10 2021 9 1 0 1
10 2029 9 1 0 1
11 2010 8 3 0 3
11 2013 8 3 0 3
11 2016 8 3 0 3
11 2027 9 2 0 2
11 2028 9 2 0 2
12 2026 9 3 0 3
12 2020 9 3 0 3
12 2023 9 3 0 3
12 2024 9 3 0 3
13 2025 9 4 0 4
16 2037 15 1 0 1
16 2030 15 1 0 1
16 2033 15 1 0 1
16 2039 15 1 0 1
16 2032 15 1 0 1
16 2035 15 1 0 1
17 2036 15 2 0 2
17 2031 15 2 0 2
17 2034 15 2 0 2
17 2047 17 0 0 0
18 2038 15 3 0 3
18 2041 17 1 0 1
18 2045 17 1 0 1
18 2040 17 1 0 1
19 2044 17 2 0 2
19 2042 17 2 0 2
19 2056 19 0 0 0
20 2048 17 3 0 3
20 2043 17 3 0 3
20 2052 19 1 0 1
21 2050 19 2 0 2
21 2057 19 2 0 2
21 2059 19 2 0 2
21 2046 17 4 0 4
21 2055 19 2 0 2
21 2053 19 2 0 2
21 2058 19 2 0 2
21 2054 19 2 0 2
21 2049 17 4 0 4
24 2051 19 5 0 5
25 2065 24 1 0 1
26 2064 24 2 0 2
26 2060 24 2 0 2
26 2061 24 2 0 2
26 2068 24 2 0 2
26 2079 26 0 0 0
26 2069 24 2 0 2
27 2066 24 3 0 3
27 2067 24 3 0 3
27 2071 26 1 0 1
27 2063 24 3 0 3
27 2062 24 3 0 3
27 2076 26 1 0 1
28 2078 26 2 0 2
28 2070 26 2 0 2
28 2073 26 2 0 2
28 2075 26 2 0 2
29 2072 26 3 0 3
29 2077 26 3 0 3
29 2074 26 3 0 3
30 2085 29 1 0 1
30 2081 29 1 0 1
31 2083 29 2 0 2
31 2096 30 1 0 1
31 2094 30 1 0 1
32 2086 29 3 0 3
32 2098 30 2 0 2
32 2090 30 2 0 2
33 2080 29 4 0 4
33 2082 29 4 0 4
33 2093 30 3 0 3
33 2109 33 0 0 0
33 2101 33 0 0 0
34 2089 29 5 0 5
34 2084 29 5 0 5
34 2087 29 5 0 5
34 2102 33 1 0 1
34 2115 34 0 0 0
34 2113 34 0 0 0
34 2106 33 1 0 1
35 2095 30 5 0 5
35 2097 30 5 0 5
35 2099 30 5 0 5
35 2088 29 6 0 6
35 2105 33 2 0 2
35 2112 34 1 0 1
36 2091 30 6 0 6
36 2124 35 1 0 1
36 2110 34 2 0 2
36 2116 34 2 0 2
37 2118 34 3 0 3
37 2103 33 4 0 4
37 2108 33 4 0 4
37 2128 35 2 0 2
37 2111 34 3 0 3
38 2127 35 3 0 3
38 2092 30 8 0 8
38 2114 34 4 0 4
38 2123 35 3 0 3
38 2126 35 3 0 3
38 2129 35 3 0 3
38 2100 33 5 0 5
40 2125 35 5 0 5
40 2117 34 6 0 6
40 2119 34 6 0 6
40 2107 33 7 0 7
40 2133 38 2 0 2
41 2121 35 6 0 6
41 2122 35 6 0 6
41 2104 33 8 0 8
41 2120 35 6 0 6
41 2134 38 3 0 3
41 2131 38 3 0 3
42 2132 38 4 0 4
42 2142 41 1 0 1
42 2145 41 1 0 1
42 2149 41 1 0 1
43 2137 38 5 0 5
43 2139 38 5 0 5
43 2157 42 1 0 1
43 2154 42 1 0 1
43 2153 42 1 0 1
44 2136 38 6 0 6
44 2138 38 6 0 6
44 2156 42 2 0 2
45 2160 44 1 0 1
45 2169 44 1 0 1
45 2168 44 1 0 1
45 2164 44 1 0 1
46 2135 38 8 0 8
46 2144 41 5 0 5
46 2146 41 5 0 5
46 2167 44 2 0 2
47 2148 41 6 0 6
47 2130 38 9 0 9
47 2158 42 5 0 5
47 2178 46 1 0 1
48 2188 48 0 0 0
48 2172 46 2 0 2
48 2173 46 2 0 2
48 2177 46 2 0 2
49 2140 41 8 0 8
49 2143 41 8 0 8
49 2150 42 7 0 7
49 2151 42 7 0 7
49 2152 42 7 0 7
49 2183 48 1 0 1
49 2185 48 1 0 1
50 2161 44 6 0 6
50 2181 48 2 0 2
51 2165 44 7 0 7
51 2141 41 10 0 10
51 2147 41 10 0 10
51 2155 42 9 0 9
51 2180 48 3 0 3
51 2187 48 3 0 3
52 2170 46 6 0 6
52 2174 46 6 0 6
52 2196 51 1 0 1
52 2193 51 1 0 1
52 2197 51 1 0 1
52 2202 52 0 0 0
52 2203 52 0 0 0
53 2166 44 9 0 9
53 2159 42 11 0 11
53 2182 48 5 0 5
54 2162 44 10 0 10
