TD ID TJ DF Dd Db
3 2001 3 0 0 0
4 2005 3 1 0 1
4 2014 4 0 0 0
4 2006 3 1 0 1
4 2004 3 1 0 1
5 2002 3 2 0 2
5 2008 3 2 0 2
5 2000 3 2 0 2
5 2010 4 1 0 1
5 2013 4 1 0 1
6 2019 4 2 0 2
6 2003 3 3 0 3
6 2007 3 3 0 3
6 2012 4 2 0 2
6 2017 4 2 0 2
6 2009 3 3 0 3
7 2016 4 3 0 3
7 2018 4 3 0 3
7 2011 4 3 0 3
8 2015 4 4 0 4
8 2025 8 0 0 0
9 2022 8 1 0 1
9 2028 8 1 0 1
10 2026 8 2 0 2
10 2021 8 2 0 2
10 2037 9 1 0 1
10 2039 9 1 0 1
11 2023 8 3 0 3
11 2024 8 3 0 3
11 2031 9 2 0 2
11 2020 8 3 0 3
11 2030 9 2 0 2
12 2034 9 3 0 3
12 2035 9 3 0 3
12 2032 9 3 0 3
12 2033 9 3 0 3
12 2038 9 3 0 3
12 2036 9 3 0 3
13 2027 8 5 0 5
13 2029 8 5 0 5
14 2047 13 1 0 1
14 2043 13 1 0 1
15 2042 13 2 0 2
15 2045 13 2 0 2
15 2046 13 2 0 2
15 2048 13 2 0 2
15 2040 13 2 0 2
16 2044 13 3 0 3
16 2049 13 3 0 3
16 2053 15 1 0 1
16 2051 15 1 0 1
16 2055 15 1 0 1
17 2057 15 2 0 2
17 2041 13 4 0 4
17 2056 15 2 0 2
18 2054 15 3 0 3
18 2058 15 3 0 3
18 2050 15 3 0 3
18 2052 15 3 0 3
19 2059 15 4 0 4
19 2067 18 1 0 1
19 2063 18 1 0 1
20 2060 18 2 0 2
20 2084 20 0 0 0
20 2077 19 1 0 1
20 2065 18 2 0 2
20 2073 19 1 0 1
21 2061 18 3 0 3
21 2071 19 2 0 2
21 2080 20 1 0 1
21 2096 21 0 0 0
21 2094 21 0 0 0
21 2064 18 3 0 3
22 2087 20 2 0 2
22 2086 20 2 0 2
22 2097 21 1 0 1
23 2069 18 5 0 5
23 2066 18 5 0 5
23 2072 19 4 0 4
23 2075 19 4 0 4
23 2099 21 2 0 2
23 2095 21 2 0 2
23 2074 19 4 0 4
23 2062 18 5 0 5
24 2092 21 3 0 3
24 2082 20 4 0 4
24 2085 20 4 0 4
24 2079 19 5 0 5
24 2070 19 5 0 5
24 2068 18 6 0 6
25 2078 19 6 0 6
25 2076 19 6 0 6
25 2090 21 4 0 4
25 2091 21 4 0 4
25 2093 21 4 0 4
25 2088 20 5 0 5
26 2098 21 5 0 5
26 2103 25 1 0 1
26 2109 25 1 0 1
26 2101 25 1 0 1
27 2089 20 7 0 7
27 2081 20 7 0 7
27 2104 25 2 0 2
28 2100 25 3 0 3
28 2102 25 3 0 3
28 2105 25 3 0 3
28 2106 25 3 0 3
28 2107 25 3 0 3
28 2115 28 0 0 0
29 2108 25 4 0 4
29 2083 20 9 0 9
29 2114 28 1 0 1
30 2110 28 2 0 2
30 2111 28 2 0 2
30 2116 28 2 0 2
30 2112 28 2 0 2
31 2113 28 3 0 3
31 2117 28 3 0 3
31 2118 28 3 0 3
33 2119 28 5 0 5
35 2123 34 1 0 1
35 2121 34 1 0 1
36 2125 34 2 0 2
36 2129 34 2 0 2
36 2126 34 2 0 2
37 2128 34 3 0 3
37 2127 34 3 0 3
37 2130 36 1 0 1
37 2138 36 1 0 1
37 2124 34 3 0 3
37 2120 34 3 0 3
37 2131 36 1 0 1
38 2122 34 4 0 4
38 2132 36 2 0 2
38 2134 36 2 0 2
38 2136 36 2 0 2
39 2139 36 3 0 3
39 2149 37 2 0 2
39 2157 39 0 0 0
39 2148 37 2 0 2
39 2158 39 0 0 0
40 2142 37 3 0 3
40 2155 39 1 0 1
40 2147 37 3 0 3
40 2152 39 1 0 1
40 2151 39 1 0 1
41 2145 37 4 0 4
41 2146 37 4 0 4
41 2135 36 5 0 5
41 2137 36 5 0 5
41 2153 39 2 0 2
41 2156 39 2 0 2
42 2141 37 5 0 5
42 2133 36 6 0 6
42 2150 39 3 0 3
42 2169 42 0 0 0
43 2159 39 4 0 4
43 2140 37 6 0 6
43 2143 37 6 0 6
43 2144 37 6 0 6
43 2154 39 4 0 4
43 2161 42 1 0 1
43 2163 42 1 0 1
43 2165 42 1 0 1
43 2160 42 1 0 1
44 2166 42 2 0 2
45 2162 42 3 0 3
45 2172 44 1 0 1
46 2167 42 4 0 4
46 2175 44 2 0 2
46 2177 44 2 0 2
46 2178 44 2 0 2
46 2168 42 4 0 4
46 2164 42 4 0 4
46 2185 46 0 0 0
46 2171 44 2 0 2
47 2173 44 3 0 3
47 2179 44 3 0 3
47 2183 46 1 0 1
48 2176 44 4 0 4
48 2182 46 2 0 2
48 2170 44 4 0 4
48 2181 46 2 0 2
49 2180 46 3 0 3
49 2186 46 3 0 3
49 2187 46 3 0 3
49 2188 46 3 0 3
49 2174 44 5 0 5
50 2189 46 4 0 4
51 2184 46 5 0 5
Earth Army Wins
Earth Army
Total Earth Soliders: 288  Total Earth Tanks: 127 Total Earth Gunnery: 144
Percentage Of Destructed Units Relative To Their Total:
Earth Soliders: 0 Earth Tanks: 0 Earth Gunnery: 0
Percentage Of Total Destructed Units Relative To Their Total:0
0 0 0
0 0
Total Healed ratio: 0
Alien Army
Total Alien Soldiers: 399  Total Alien Monester: 209 Total Alien Drones: 116
Percentage Of Destructed Units Relative To Their Total : Alien Soldiers: 100 Alien Monesters: 100 Alien Drones: 100
Percentage Of Total Destructed Units Relative To Their Total:100
2 0 2
1 0
